setup,metric,n_crossed,n_memorised_not_crossed,rho_memo_vs_log_delay,p_memo_delay,n_memo,rho_memo_vs_log_tcross,rho_cross_vs_log_delay,p_cross_delay,n_cross,rho_cross_vs_log_tcross,auc_memo_crossed_vs_not
A',w_W2_eff_rank,10,0,0.4545454545454545,0.1944539988921134,10,0.38181818181818183,0.6121212121212121,0.05948573304439052,10,0.5393939393939393,
A',w_W2_sv_gini,10,0,-0.34545454545454546,0.3404923092488453,10,-0.2727272727272727,-0.6363636363636362,0.04662318012010586,10,-0.5515151515151515,
A',w_W2_entry_gini,10,0,0.6969696969696969,0.022666709092861448,10,0.7333333333333332,0.38181818181818183,0.2872900976076061,10,0.43030303030303024,
A',w_W2_row_gini,10,0,0.4787878787878787,0.16773373850380155,10,0.5515151515151515,0.1515151515151515,0.6862259925357417,10,0.16363636363636364,
A',w_W2_row_pr,10,0,-0.5151515151515151,0.1317261237554859,10,-0.5757575757575757,-0.12727272727272726,0.7349351698928779,10,-0.13939393939393938,
A',w_W2_dist_init,10,0,0.5515151515151515,0.10062372351519844,10,0.6242424242424242,0.6969696969696969,0.022666709092861448,10,0.7454545454545454,
A',w_W2_rel_dist_init,10,0,0.5515151515151515,0.10062372351519844,10,0.6242424242424242,0.6969696969696969,0.022666709092861448,10,0.7454545454545454,
A',w_W2_cos_init,10,0,-0.17575757575757575,0.638433778465894,10,-0.24848484848484845,-0.41818181818181815,0.23853901084453155,10,-0.3939393939393939,
A',w_all_norm,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.709090909090909,0.019158938629641697,10,-0.7939393939393938,
A',w_all_rel_norm,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.7454545454545454,0.01086782164181687,10,-0.8303030303030302,
A',w_all_dist_init,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.7818181818181817,0.005467453249489785,10,-0.8424242424242423,
A',w_all_rel_dist_init,10,0,-0.6606060606060605,0.035690964924383985,10,-0.7212121212121211,-0.7939393939393938,0.004200460758693554,10,-0.8666666666666665,
A',w_all_cos_init,10,0,0.8787878787878788,0.00028807879243805874,10,0.8545454545454544,-0.2121212121212121,0.5687643593672557,10,-0.22424242424242422,
A',rep_between_within_tr,10,0,-0.38181818181818183,0.2872900976076061,10,-0.406060606060606,-0.35757575757575755,0.32227933064762704,10,-0.38181818181818183,
A',rep_nc1_tr,10,0,-0.5151515151515151,0.1317261237554859,10,-0.3696969696969697,-0.6969696969696969,0.022666709092861448,10,-0.6848484848484848,
A',rep_eff_rank_te,10,0,0.16363636363636364,0.6622065812731996,10,0.05454545454545454,0.32121212121212117,0.3783015023481147,10,0.23636363636363633,
A',rep_pr_te,10,0,0.4545454545454545,0.1944539988921134,10,0.35757575757575755,0.43030303030303024,0.22331670274622484,10,0.3939393939393939,
A',rep_unit_gini_te,10,0,-0.17575757575757575,0.638433778465894,10,-0.17575757575757575,-0.43030303030303024,0.22331670274622484,10,-0.34545454545454546,
A',rep_unit_pr_te,10,0,0.406060606060606,0.2542802968633816,10,0.406060606060606,0.49090909090909085,0.15518615754920068,10,0.43030303030303024,
A',rep_between_within_te,10,0,-0.5151515151515151,0.1317261237554859,10,-0.5272727272727272,-0.16363636363636364,0.6622065812731996,10,-0.2121212121212121,
A',unit_interaction_share,10,0,-0.38181818181818183,0.2872900976076061,10,-0.406060606060606,-0.34545454545454546,0.3404923092488453,10,-0.3696969696969697,
A',unit_frac_interacting,10,0,0.6277666039945968,0.05095865648976779,10,0.5846845821518305,-0.33333333333333326,0.35917013537377374,10,-0.33333333333333326,
A',add_share_a,10,0,0.05454545454545454,0.8851395421951225,10,-0.05454545454545454,-0.309090909090909,0.39787452872244605,10,-0.3696969696969697,
A',add_share_b,10,0,-0.09090909090909088,0.8094088305716397,10,-0.10303030303030303,-0.5878787878787878,0.07436788792155065,10,-0.5393939393939393,
A',add_share_interaction,10,0,-0.05454545454545454,0.8851395421951225,10,0.05454545454545454,0.6,0.06666957276626378,10,0.6363636363636362,
A',add_acc_interaction_tr,10,0,-0.41818181818181815,0.23853901084453155,10,-0.43030303030303024,0.5222329678670935,0.12528521429488715,10,0.4061811972299616,
A',add_acc_additive_tr,10,0,0.09090909090909088,0.8094088305716397,10,-0.05454545454545454,-0.5393939393939393,0.11044794375727386,10,-0.5757575757575757,
A',add_acc_no_a_tr,10,0,-0.3100318272768329,0.39633962829013947,10,-0.3039527718400323,0.5222329678670935,0.12528521429488715,10,0.4061811972299616,
A',add_acc_no_b_tr,10,0,-0.19452977397762067,0.6021431561534464,10,-0.2613993837824278,0.5222329678670935,0.12528521429488715,10,0.4061811972299616,
A',add_acc_interaction_te,10,0,-0.8060606060606059,0.003159186611345862,10,-0.7818181818181817,0.1515151515151515,0.6862259925357417,10,0.09090909090909088,
A',add_acc_additive_te,10,0,0.060302268915552716,0.8730869789378333,10,0.167506302543202,0.7598819296000807,0.008413778643428352,10,0.735565707852878,
A',add_acc_no_a_te,10,0,-0.8181818181818182,0.002318817941149451,10,-0.8303030303030302,0.23636363636363633,0.5238565953131907,10,0.18787878787878787,
A',add_acc_no_b_te,10,0,-0.9240164263936983,1.910729058429739e-05,10,-0.8753839828992931,0.32121212121212117,0.3783015023481147,10,0.2606060606060606,
A',circ_share_interaction_tr,10,0,0.35757575757575755,0.32227933064762704,10,0.406060606060606,0.406060606060606,0.2542802968633816,10,0.406060606060606,
A',circ_share_marginal_tr,10,0,0.3939393939393939,0.27053332338610575,10,0.406060606060606,-0.2121212121212121,0.5687643593672557,10,-0.13939393939393938,
A',circ_acc_interaction_tr,10,0,-0.33333333333333326,0.35917013537377374,10,-0.33333333333333326,0.5222329678670935,0.12528521429488715,10,0.4061811972299616,
A',circ_acc_marginal_tr,10,0,-0.10334394242561099,0.7837756773868918,10,-0.21884599572482327,-0.309090909090909,0.39787452872244605,10,-0.33333333333333326,
A',circ_units_tr,10,0,0.5878787878787878,0.07436788792155065,10,0.5272727272727272,0.6484848484848483,0.04092215459987942,10,0.6969696969696969,
A',circ_share_interaction_te,10,0,-0.05454545454545454,0.8851395421951225,10,0.05454545454545454,0.309090909090909,0.39787452872244605,10,0.33333333333333326,
A',circ_share_marginal_te,10,0,-0.34545454545454546,0.3404923092488453,10,-0.4545454545454545,-0.5878787878787878,0.07436788792155065,10,-0.5393939393939393,
A',circ_acc_interaction_te,10,0,-0.8292837093139818,0.0017043401216823365,10,-0.8353813836471727,0.2121212121212121,0.5687643593672557,10,0.16363636363636364,
A',circ_acc_marginal_te,10,0,0.3901845186230132,0.27567072858822655,10,0.5140526197731761,0.4787878787878787,0.16773373850380155,10,0.49090909090909085,
A',circ_units_te,10,0,0.5878787878787878,0.07436788792155065,10,0.5272727272727272,0.6484848484848483,0.04092215459987942,10,0.6969696969696969,
